,AG_05414_AS.cel,AG_11745_AS.cel,AG_13927_AS.cel,KB_5047_2070_2_AS.CEL,KB_5275_2_AS.CEL,KB_5828_AS.cel,KB_6268_2_AS.cel,KB_8025_AS.cel,KB_8840_AS.cel
111_at,9.71675896770187,9.8782474782914,9.93293795061664,9.80842178612574,9.81372132716995,9.80848291530446,9.9672540156268,9.94861378027487,9.7525679589857
1110_at,8.80738150678162,8.94034946098507,8.89047203661825,8.88331681109988,8.8739961538771,8.79642140957499,8.81331646357946,8.89187901528132,8.8147260937587
1111_at,8.62487466990984,8.90489028290941,8.8700757565385,8.87685771012101,8.88408833947295,8.83702269323211,8.92356179527392,8.73265732859366,8.95038925321812
1112_g_at,9.01787543445522,9.19539318287573,8.97836449067656,8.92041837672401,9.0735017341853,9.02156193745,8.99487004025351,8.99664122983705,9.03922157032398
1113_at,8.54596575252184,8.67303456403395,8.8625563133092,8.67915684764691,8.65662361698943,8.72671042104805,8.58599059040323,8.5614916617157,8.58295110466872
1114_at,9.1461398937636,9.14589687110597,9.06152626709407,9.16785974851487,9.44543163651007,9.189380882318,9.04591588087506,9.10721962616012,9.07726958726104
1115_at,8.65563002918969,8.62793073516027,8.62235350985292,8.45075330850064,8.57849689895965,8.57849689895965,8.6496920820127,8.57802117889424,8.55199723863359
1116_at,9.26675214745319,9.26682779737745,9.26347125451756,9.23003934739513,9.0414967386675,9.23251318780649,9.3118189963585,9.04490015665322,9.25215380454453
1117_at,9.61958770363825,9.40262967608668,9.69986803265955,10.0475321699229,9.37929623358956,9.6949227395729,9.90567038033382,9.54059862593591,9.6949227395729
1118_at,8.8654875582547,8.85152263636577,8.87967622553318,8.93963652566026,8.88778278436202,8.92844921170228,8.91861527422877,8.90218583262335,8.9780611275861
1119_at,9.71430180873003,9.88106267614723,10.0297444720258,9.41324188612548,9.9328023804965,9.8701194664855,9.92589988734222,9.96573998687563,9.44367622767806
112_g_at,8.4110454613133,8.5561914844115,8.44785956398214,8.52626916185859,8.63595517880937,8.54847471071091,8.57028570594933,8.42913955906964,8.6904660347143
1120_at,8.97797358934988,9.24226708504453,9.04506431848245,8.95060579585252,9.02586464783457,9.00219809778392,8.87716160611851,8.89469077471049,8.92763358859148
1121_g_at,8.92664029689137,9.22312898235157,8.88263804746025,8.8508777926709,8.91084426265481,8.67746219991552,8.8228409531566,8.9190286454125,8.9145493060976
1122_f_at,10.5454567600048,10.4938326859959,10.6626132616352,10.5117044398450,10.3813935052075,10.4132406315007,10.4249585829691,10.3934120766694,10.5051622040074
1123_at,9.40304513171479,9.43072931837682,9.40304513171479,9.39703996902227,9.35310110498926,9.42911320333555,9.34463464202932,9.17247978199483,9.55638191082987
1124_at,9.51846508443423,9.57955588975767,9.58782557405263,9.34072974987766,9.56452505431511,9.44496487556714,9.55206141270454,9.38472567116164,9.5281291899298
1125_s_at,8.67776076454014,8.72828678188822,8.78205317754588,8.6372777049566,8.9102125356932,8.70526267622716,8.76768320625802,8.5450603931009,8.6623065098544
1126_s_at,11.0301963942838,10.7764083851383,11.0940562882260,10.0879032767074,10.7197879627892,10.6707795311169,10.6295518549080,10.7571933938999,10.0602978378747
1127_at,10.2222398494509,10.4157485668396,10.3978266609633,10.4558775547901,10.3645211958348,10.4458705795272,10.4049423049219,10.2650334665149,10.4795179897596
1128_s_at,9.04867153128625,9.000547248239,9.11300955523738,9.03745080295231,9.14393433205558,8.95314588876262,9.05212752172601,9.2020485987177,9.06006307639062
